Press_Altitude(m),Pressure(hPa),BME_Temp(C),Humidity(%),Gas(KOhms),TMP117_Temp(C),Battery_Voltage,TimeSinceStart
486.89,956.11,9.07,42.77,10.64,8.8437,4.36,10708
486.71,956.13,8.71,43.17,13.95,8.6953,2.3,15704
486.54,956.14,8.46,44.05,17.2,8.6016,0.88,20705
486.54,956.15,8.28,44.66,20.03,8.4922,0.47,25706
486.54,956.15,8.13,44.95,22.45,8.3594,0.3,30707
486.1,956.17,8.01,45.07,24.65,8.2812,0.34,35719
486.19,956.2,7.9,45.15,26.63,8.1875,0.39,40712
486.28,956.2,7.81,45.27,28.39,8.1094,0.38,45717
486.28,956.19,7.73,45.43,29.77,8.0391,0.37,50714
486.28,956.19,7.66,45.57,31.28,7.9922,0.37,55715
486.19,956.19,7.6,45.74,32.54,7.9375,0.37,60717
486.19,956.2,7.55,45.89,33.44,7.8984,0.37,65724
486.19,956.2,7.5,46.05,34.46,7.8594,0.36,70719
486.1,956.2,7.46,46.17,35.87,7.8281,0.38,75720
486.1,956.21,7.43,46.32,36.3,7.8047,0.34,80721
486.1,956.21,7.4,46.42,37.53,7.7734,0.34,85723
486.1,956.21,7.37,46.51,38.08,7.7578,0.43,90724
486.02,956.21,7.35,46.61,38.85,7.7422,0.36,95735
486.02,956.21,7.33,46.67,39.39,7.7266,0.37,100726
486.02,956.22,7.32,46.72,40.07,7.7188,0.37,105728
486.54,956.11,7.3,46.78,40.77,7.6953,0.39,110729
486.28,956.17,7.29,46.83,41.45,7.7031,0.34,115730
486.19,956.19,7.28,46.86,41.74,7.6953,0.39,120731
486.1,956.2,7.27,46.9,42.46,7.6797,0.39,125739
486.1,956.21,7.27,46.92,42.97,7.6797,0.38,130734
486.1,956.21,7.26,46.93,43.37,7.6719,0.38,135735
486.02,956.21,7.25,46.95,43.83,7.6719,0.28,140736
486.1,956.21,7.25,46.95,43.83,7.6641,0.35,145741
486.02,956.22,7.25,46.96,44.52,7.6641,0.37,150738
486.02,956.21,7.24,46.96,45.14,7.6641,0.4,155746
486.02,956.22,7.24,46.96,45.39,7.6563,0.38,160741
486.02,956.22,7.24,46.96,45.68,7.6563,0.38,165742
486.1,956.22,7.24,46.96,46.23,7.6563,0.38,170743
486.1,956.21,7.24,46.93,46.44,7.6563,0.38,175745
486.1,956.21,7.24,46.93,46.85,7.6563,0.38,180746
486.1,956.21,7.24,46.91,47.33,7.6563,0.38,185753
486.1,956.22,7.24,46.89,47.3,7.6563,0.37,190752
486.1,956.21,7.24,46.89,47.73,7.6563,0.38,195749
486.02,956.22,7.24,46.87,47.78,7.6563,0.38,200751
486.02,956.22,7.24,46.83,48.5,7.6563,0.39,205752
485.93,956.23,7.24,46.81,48.33,7.6484,0.37,210753
485.93,956.23,7.24,46.78,48.95,7.6563,0.37,215760
485.84,956.24,7.24,46.75,48.92,7.6563,0.37,220755
485.84,956.24,7.24,46.73,49.15,7.6563,0.37,225757
485.84,956.24,7.24,46.7,49.44,7.6563,0.37,230758
485.84,956.24,7.24,46.68,49.65,7.6563,0.37,235759
485.76,956.24,7.25,46.65,49.76,7.6563,0.37,240764
485.76,956.25,7.25,46.63,50.09,7.6563,0.37,245768
485.58,956.26,7.25,46.61,50.51,7.6563,0.37,250763
485.67,956.26,7.25,46.57,50.57,7.6563,0.37,255764
485.67,956.25,7.25,46.54,50.76,7.6563,0.37,260765
485.67,956.26,7.25,46.52,50.91,7.6563,0.37,265766
485.67,956.27,7.25,46.49,50.97,7.6484,0.37,270768
485.76,956.25,7.25,46.47,51.38,7.6484,0.37,275775
485.67,956.26,7.25,46.44,51.13,7.6563,0.37,280770
485.67,956.26,7.25,46.41,51.41,7.6484,0.37,285771
485.67,956.26,7.25,46.38,51.6,7.6484,0.37,290777
485.58,956.27,7.25,46.35,52.04,7.6484,0.34,295774
485.67,956.26,7.25,46.34,52.08,7.6484,0.28,300775
485.76,956.26,7.25,46.31,52.33,7.6484,0.38,305782
485.67,956.25,7.25,46.29,52.43,7.6484,0.36,310777
485.84,956.25,7.25,46.26,52.56,7.6484,0.42,315779
485.67,956.26,7.25,46.25,52.73,7.6406,0.42,320780
485.84,956.25,7.25,46.2,52.63,7.6328,0.38,325781
485.93,956.24,7.25,46.18,53.1,7.6328,0.36,330782
485.93,956.23,7.25,46.16,53.13,7.6328,0.42,335794
485.84,956.22,7.25,46.15,53.1,7.6406,0.39,340785
485.93,956.25,7.25,46.13,53.53,7.6328,0.35,345786
486.02,956.23,7.25,46.1,53.36,7.625,0.6,350787
486.02,956.22,7.25,46.09,53.67,7.6406,0.32,355788
486.1,956.21,7.25,46.06,53.5,7.6328,0.35,360790
486.19,956.2,7.25,46.04,53.84,7.6328,0.36,365797
486.19,956.2,7.25,46.03,53.67,7.625,0.36,370792
486.19,956.2,7.25,46,53.95,7.625,0.36,375793
486.28,956.2,7.25,45.98,53.84,7.6328,0.36,380794
486.37,956.19,7.25,45.97,54.02,7.625,0.35,385800
486.45,956.17,7.25,45.94,54.51,7.625,0.37,390797
486.54,956.17,7.25,45.94,54.47,7.625,0.37,395804
